Transaction Time,From Account,From Bank,To Account,To Bank,Amount,Transaction Type
2024-10-03 06:01:44,111111-0000,CommBank,772983-5425,ANZ,81.91,fee & interest
2024-10-03 06:01:44,111111-0000,CommBank,493817-3459,ANZ,101.64,entertainment
2024-10-05 06:01:44,847133-3261,CommBank,111111-0000,CommBank,81.83,travel
2024-10-05 06:01:44,111111-0000,CommBank,761783-6541,CommBank,23.72,uncategorised
2024-10-05 06:01:44,886832-6346,CommBank,111111-0000,CommBank,228.34,eating out
2024-10-05 06:01:44,416684-1780,CommBank,111111-0000,CommBank,226.75,groceries
2024-10-06 06:01:44,688560-2585,CommBank,111111-0000,CommBank,395.12,transport
2024-10-06 06:01:44,514406-2218,CommBank,111111-0000,CommBank,484.75,education
2024-10-06 06:01:44,111111-0000,CommBank,580572-1756,ANZ,196.45,transport
2024-10-07 06:01:44,135611-3365,CommBank,111111-0000,CommBank,88.89,health
2024-10-07 06:01:44,962819-4374,CommBank,111111-0000,CommBank,460.1,health
2024-10-07 06:01:44,111111-0000,CommBank,718842-5234,CommBank,394.86,transport
2024-10-07 06:01:44,111111-0000,CommBank,602801-6370,BOC,443.01,health
2024-10-08 06:01:44,807032-3220,CommBank,111111-0000,CommBank,200.24,health
2024-10-08 06:01:44,834209-4399,CommBank,111111-0000,CommBank,248.89,groceries
2024-10-08 06:01:44,511710-5808,CommBank,111111-0000,CommBank,260.13,eating out
2024-10-08 06:01:44,531670-2086,CommBank,111111-0000,CommBank,380.71,fee & interest
2024-10-08 06:01:44,383867-5546,CommBank,111111-0000,CommBank,122.8,education
2024-10-08 06:01:44,111111-0000,CommBank,761942-5093,BOC,15.06,eating out
2024-10-08 06:01:44,142522-9952,CommBank,111111-0000,CommBank,478.75,groceries
2024-10-09 06:01:44,792892-5418,CommBank,111111-0000,CommBank,473.63,eating out
2024-10-10 06:01:44,224560-9753,CommBank,111111-0000,CommBank,24.17,eating out
2024-10-10 06:01:44,111111-0000,CommBank,647153-6830,ANZ,245.91,health
2024-10-10 06:01:44,111111-0000,CommBank,378061-4341,CommBank,337.8,eating out
2024-10-11 06:01:44,111111-0000,CommBank,178236-3718,CommBank,52.81,entertainment
2024-10-11 06:01:44,111111-0000,CommBank,253701-4053,BOC,399.74,travel
2024-10-11 06:01:44,142507-6100,CommBank,111111-0000,CommBank,442.88,health
2024-10-11 06:01:44,111111-0000,CommBank,346296-7505,BOC,31.4,health
2024-10-11 06:01:44,607768-3570,CommBank,111111-0000,CommBank,273.89,eating out
2024-10-11 06:01:44,111111-0000,CommBank,956827-6679,ANZ,15.71,fee & interest
2024-10-11 06:01:44,111111-0000,CommBank,722964-7142,CommBank,43.76,uncategorised
2024-10-12 06:01:44,784113-6259,CommBank,111111-0000,CommBank,129.35,education
2024-10-12 06:01:44,111111-0000,CommBank,556572-4005,BOC,83.28,uncategorised
2024-10-12 06:01:44,111111-0000,CommBank,265265-1183,CommBank,490.0,cash
2024-10-12 06:01:44,898625-9198,CommBank,111111-0000,CommBank,492.91,fee & interest
2024-10-13 06:01:44,541351-8050,CommBank,111111-0000,CommBank,373.67,eating out
2024-10-13 06:01:44,111111-0000,CommBank,362120-3513,ANZ,396.55,transport
2024-10-13 06:01:44,111111-0000,CommBank,661862-4491,CommBank,139.15,travel
2024-10-13 06:01:44,111111-0000,CommBank,110595-9853,ANZ,364.2,education
2024-10-13 06:01:44,111111-0000,CommBank,803898-3628,ANZ,362.1,entertainment
2024-10-13 06:01:44,941184-7708,CommBank,111111-0000,CommBank,170.91,education
2024-10-14 06:01:44,252183-7861,CommBank,111111-0000,CommBank,174.19,cash
2024-10-15 06:01:44,961861-4526,CommBank,111111-0000,CommBank,116.79,cash
2024-10-16 06:01:44,111111-0000,CommBank,357831-5322,BOC,293.71,travel
2024-10-16 06:01:44,111111-0000,CommBank,877007-8242,CommBank,167.56,entertainment
2024-10-16 06:01:44,440184-6790,CommBank,111111-0000,CommBank,80.16,cash
2024-10-16 06:01:44,192921-4986,CommBank,111111-0000,CommBank,56.36,travel
2024-10-17 06:01:44,477445-8256,CommBank,111111-0000,CommBank,22.46,groceries
2024-10-17 06:01:44,111111-0000,CommBank,538901-1123,ANZ,62.23,groceries
2024-10-17 06:01:44,962982-6499,CommBank,111111-0000,CommBank,116.6,transport
2024-10-17 06:01:44,498464-6506,CommBank,111111-0000,CommBank,232.18,travel
2024-10-17 06:01:44,494672-5395,CommBank,111111-0000,CommBank,120.67,travel
2024-10-18 06:01:44,884566-4581,CommBank,111111-0000,CommBank,473.07,eating out
2024-10-18 06:01:44,111111-0000,CommBank,268075-7951,ANZ,46.54,travel
2024-10-18 06:01:44,840103-2537,CommBank,111111-0000,CommBank,203.44,fee & interest
2024-10-18 06:01:44,258559-4535,CommBank,111111-0000,CommBank,319.34,education
2024-10-18 06:01:44,111111-0000,CommBank,542686-9882,ANZ,150.63,uncategorised
2024-10-19 06:01:44,111111-0000,CommBank,247314-2677,ANZ,469.83,eating out
2024-10-19 06:01:44,111111-0000,CommBank,100545-6745,ANZ,494.06,eating out
2024-10-20 06:01:44,111111-0000,CommBank,911352-2882,BOC,371.38,fee & interest
2024-10-21 06:01:44,111111-0000,CommBank,890073-1391,ANZ,388.74,entertainment
2024-10-21 06:01:44,304398-9005,CommBank,111111-0000,CommBank,221.44,travel
2024-10-22 06:01:44,446548-8141,CommBank,111111-0000,CommBank,223.24,cash
2024-10-22 06:01:44,928360-5819,CommBank,111111-0000,CommBank,115.67,education
2024-10-22 06:01:44,838361-7751,CommBank,111111-0000,CommBank,482.44,fee & interest
2024-10-22 06:01:44,351790-9799,CommBank,111111-0000,CommBank,428.11,eating out
2024-10-22 06:01:44,486804-7145,CommBank,111111-0000,CommBank,181.12,travel
2024-10-23 06:01:44,111111-0000,CommBank,632118-8518,CommBank,425.42,transport
2024-10-23 06:01:44,111111-0000,CommBank,808291-6700,CommBank,285.03,fee & interest
2024-10-23 06:01:44,965094-4407,CommBank,111111-0000,CommBank,312.88,fee & interest
2024-10-24 06:01:44,521892-3447,CommBank,111111-0000,CommBank,278.23,cash
2024-10-24 06:01:44,111111-0000,CommBank,527462-1105,BOC,314.8,health
2024-10-25 06:01:44,111111-0000,CommBank,150685-1156,BOC,134.5,entertainment
2024-10-25 06:01:44,111111-0000,CommBank,594167-6657,BOC,74.13,health
2024-10-25 06:01:44,521031-6313,CommBank,111111-0000,CommBank,52.27,entertainment
