Transaction Time,From Account,From Bank,To Account,To Bank,Amount,Transaction Type
2024-10-12 06:01:44,222222-0000,ANZ,575616-4495,ANZ,303.19,eating out
2024-10-12 06:01:44,870337-7865,ANZ,222222-0000,ANZ,328.94,fee & interest
2024-10-12 06:01:44,222222-0000,ANZ,501957-2323,CommBank,454.25,groceries
2024-10-13 06:01:44,555096-7337,ANZ,222222-0000,ANZ,489.02,travel
2024-10-13 06:01:44,280456-9872,ANZ,222222-0000,ANZ,66.53,cash
2024-10-13 06:01:44,222222-0000,ANZ,848831-1736,BOC,388.04,education
2024-10-14 06:01:44,755607-9490,ANZ,222222-0000,ANZ,187.26,cash
2024-10-14 06:01:44,612301-4119,ANZ,222222-0000,ANZ,465.41,transport
2024-10-14 06:01:44,222222-0000,ANZ,618121-9548,BOC,452.19,uncategorised
2024-10-15 06:01:44,388693-7303,ANZ,222222-0000,ANZ,185.06,groceries
2024-10-15 06:01:44,458123-1419,ANZ,222222-0000,ANZ,337.13,transport
2024-10-15 06:01:44,222222-0000,ANZ,906781-3972,CommBank,161.36,cash
2024-10-15 06:01:44,495952-4469,ANZ,222222-0000,ANZ,137.9,education
2024-10-17 06:01:44,222222-0000,ANZ,478364-1351,ANZ,236.8,travel
2024-10-18 06:01:44,222222-0000,ANZ,637167-9526,BOC,332.79,fee & interest
2024-10-18 06:01:44,489332-2368,ANZ,222222-0000,ANZ,191.69,education
2024-10-18 06:01:44,576121-8603,ANZ,222222-0000,ANZ,371.31,travel
2024-10-18 06:01:44,963437-1330,ANZ,222222-0000,ANZ,191.49,transport
2024-10-18 06:01:44,781987-3053,ANZ,222222-0000,ANZ,127.21,entertainment
2024-10-18 06:01:44,222222-0000,ANZ,328682-6495,CommBank,474.15,entertainment
2024-10-18 06:01:44,889472-5069,ANZ,222222-0000,ANZ,153.96,health
2024-10-19 06:01:44,217749-6221,ANZ,222222-0000,ANZ,253.72,health
2024-10-19 06:01:44,640676-9463,ANZ,222222-0000,ANZ,308.56,transport
2024-10-19 06:01:44,808358-6978,ANZ,222222-0000,ANZ,301.77,uncategorised
2024-10-19 06:01:44,194167-9141,ANZ,222222-0000,ANZ,321.04,transport
2024-10-19 06:01:44,404512-5862,ANZ,222222-0000,ANZ,121.94,transport
2024-10-19 06:01:44,222222-0000,ANZ,258979-2365,ANZ,155.81,health
2024-10-20 06:01:44,124768-1912,ANZ,222222-0000,ANZ,215.8,fee & interest
2024-10-20 06:01:44,222222-0000,ANZ,627259-2116,ANZ,347.36,cash
2024-10-21 06:01:44,851533-3716,ANZ,222222-0000,ANZ,207.66,entertainment
2024-10-21 06:01:44,222222-0000,ANZ,926733-4577,ANZ,73.88,eating out
2024-10-21 06:01:44,222222-0000,ANZ,259490-4697,ANZ,290.3,cash
2024-10-21 06:01:44,124712-7818,ANZ,222222-0000,ANZ,19.65,transport
2024-10-22 06:01:44,440300-4949,ANZ,222222-0000,ANZ,421.85,transport
2024-10-22 06:01:44,978499-9302,ANZ,222222-0000,ANZ,35.86,travel
2024-10-22 06:01:44,184345-7455,ANZ,222222-0000,ANZ,302.12,cash
2024-10-23 06:01:44,222222-0000,ANZ,478544-7961,ANZ,273.88,health
2024-10-23 06:01:44,229745-8489,ANZ,222222-0000,ANZ,179.99,education
2024-10-23 06:01:44,447637-5253,ANZ,222222-0000,ANZ,242.19,groceries
2024-10-23 06:01:44,687472-5538,ANZ,222222-0000,ANZ,56.97,health
2024-10-24 06:01:44,178355-2795,ANZ,222222-0000,ANZ,127.47,transport
2024-10-24 06:01:44,222222-0000,ANZ,649085-1056,ANZ,327.0,transport
2024-10-24 06:01:44,222222-0000,ANZ,872647-2522,ANZ,101.44,transport
2024-10-24 06:01:44,557750-3545,ANZ,222222-0000,ANZ,334.1,cash
2024-10-24 06:01:44,222222-0000,ANZ,494200-7725,BOC,287.54,transport
2024-10-24 06:01:44,332167-3353,ANZ,222222-0000,ANZ,473.13,cash
2024-10-25 06:01:44,656372-5029,ANZ,222222-0000,ANZ,76.64,groceries
